1|Opening_04|Narration|"인류 문명 붕괴 이후"|3
2||Narration|세계는 ‘오염’이라는 이름으로 재정의되었다.|2.5
3||System|깨어나세요|2.5
4|Opening_01|Narration|당신의 눈이 천천히 떠집니다. 차갑고 습한 공기. 깨진 유리. 흩어진 서류들.|2.5
5||System|생존 가능 개체: 미확인|2
6||System|정화 대상 개체: 다수|2
7||System|당신은 정화자 입니다|2
8||Player|다행이다..정화 프로토콜은 지금도 작동 중이다.|3
9||Narration|프로토콜|2
10||Narration|주인공 임무를 부여한다.|2.5
11||Narration|오염 개체를 정화하고| 인류 재건을 위한 경로를 확보하라."|3
12|Opening_02|Narration|벽에 붙은 낡은 포스터가 보입니다.|3
13||System|세계는 오염되었습니다|2
14|Opening03_QTE|Narration|거울에 비친 당신의 모습|3
15||QTE|(QTE 발동: C키를 2초 내에 누르세요!)|2
16||Narration|당신은 재빨리 고개를 돌립니다. 지금은 임무에 집중해야 합니다.|3
17|Opening03-1_QTE|Narration|당신은 자신의 모습을 봅니다. 평범해 보입니다. 두 팔| 두 다리 인간의 형상."|3
18|Opening_01|System|건물 내부에서.. 오염 개…체 에너.지 확인... 정화 프로….토콜을 실행하라.|3
19||System|오염도 체..크 지역전..체 오염.도 A등급…판단 주의경보|3
20||Player|프로토콜도 상태가 정상이 아니군… 일단 앞으로 나가보자|3
21||System|임무를 시작하세요. 그들을 구원하세요|2.5
22||Narration|문이 열립니다.|2
23||System|탈출..구 검색 완료 가장 빠..른 경로…를 설정합니다.|3
